"source","Accession"
"GISAID","EPI_ISL_13544238"
"GISAID","EPI_ISL_13544239"
"GISAID","EPI_ISL_13544240"
"GISAID","EPI_ISL_13544241"
"GISAID","EPI_ISL_13544242"
"GISAID","EPI_ISL_13544243"
"GISAID","EPI_ISL_13544244"
"GISAID","EPI_ISL_13544245"
"GISAID","EPI_ISL_13544246"
"GISAID","EPI_ISL_13544247"
"GISAID","EPI_ISL_13544248"
"GISAID","EPI_ISL_13544249"
"GISAID","EPI_ISL_13544250"
"GISAID","EPI_ISL_13544251"
"GISAID","EPI_ISL_13544252"
"GISAID","EPI_ISL_13544253"
"GISAID","EPI_ISL_13544254"
"GISAID","EPI_ISL_13544255"
"GISAID","EPI_ISL_13544256"
"GISAID","EPI_ISL_13544257"
"GISAID","EPI_ISL_13544258"
"GISAID","EPI_ISL_13544259"
"GISAID","EPI_ISL_13544260"
"GISAID","EPI_ISL_13544261"
"GISAID","EPI_ISL_13544262"
"GISAID","EPI_ISL_13544263"
"GISAID","EPI_ISL_13544264"
"GISAID","EPI_ISL_13544265"
"GISAID","EPI_ISL_13544266"
"GISAID","EPI_ISL_13544267"
"GISAID","EPI_ISL_13573943"
"GISAID","EPI_ISL_13584854"
"GISAID","EPI_ISL_13586184"
"GISAID","EPI_ISL_13607904"
"GISAID","EPI_ISL_13624509"
"GISAID","EPI_ISL_13632068"
"GISAID","EPI_ISL_13632071"
"GISAID","EPI_ISL_13632288"
"GISAID","EPI_ISL_13651348"
"GISAID","EPI_ISL_13651349"
"GISAID","EPI_ISL_13651350"
"GISAID","EPI_ISL_13658019"
"GISAID","EPI_ISL_13658021"
"GISAID","EPI_ISL_13660191"
"GISAID","EPI_ISL_13705358"
"GISAID","EPI_ISL_13705407"
"GISAID","EPI_ISL_13717674"
"GISAID","EPI_ISL_13728303"
"GISAID","EPI_ISL_13732932"
"GISAID","EPI_ISL_13734233"
"GISAID","EPI_ISL_13734237"
"GISAID","EPI_ISL_13734238"
"GISAID","EPI_ISL_13734239"
"GISAID","EPI_ISL_13734240"
"GISAID","EPI_ISL_13734241"
"GISAID","EPI_ISL_13734242"
"GISAID","EPI_ISL_13734243"
"GISAID","EPI_ISL_13734244"
"GISAID","EPI_ISL_13734245"
"GISAID","EPI_ISL_13734246"
"GISAID","EPI_ISL_13734247"
"GISAID","EPI_ISL_13734248"
"GISAID","EPI_ISL_13734249"
"GISAID","EPI_ISL_13734250"
"GISAID","EPI_ISL_13734251"
"GISAID","EPI_ISL_13734252"
"GISAID","EPI_ISL_13734253"
"GISAID","EPI_ISL_13734254"
"GISAID","EPI_ISL_13734255"
"GISAID","EPI_ISL_13734256"
"GISAID","EPI_ISL_13734257"
"GISAID","EPI_ISL_13734258"
"GISAID","EPI_ISL_13734259"
"GISAID","EPI_ISL_13734260"
"GISAID","EPI_ISL_13734261"
"GISAID","EPI_ISL_13734262"
"GISAID","EPI_ISL_13734263"
"GISAID","EPI_ISL_13734264"
"GISAID","EPI_ISL_13734265"
"GISAID","EPI_ISL_13734266"
"GISAID","EPI_ISL_13734267"
"GISAID","EPI_ISL_13734268"
"GISAID","EPI_ISL_13734269"
"GISAID","EPI_ISL_13734270"
"GISAID","EPI_ISL_13744896"
"GISAID","EPI_ISL_13744897"
"GISAID","EPI_ISL_13744898"
"GISAID","EPI_ISL_13744899"
"GISAID","EPI_ISL_13744900"
"GISAID","EPI_ISL_13744901"
"GISAID","EPI_ISL_13744902"
"GISAID","EPI_ISL_13744903"
"GISAID","EPI_ISL_13744904"
"GISAID","EPI_ISL_13744905"
"GISAID","EPI_ISL_13744906"
"GISAID","EPI_ISL_13744907"
"GISAID","EPI_ISL_13744908"
"GISAID","EPI_ISL_13744909"
"GISAID","EPI_ISL_13744910"
"GISAID","EPI_ISL_13744911"
"GISAID","EPI_ISL_13744912"
"GISAID","EPI_ISL_13744913"
"GISAID","EPI_ISL_13744914"
"GISAID","EPI_ISL_13744915"
"GISAID","EPI_ISL_13744916"
"GISAID","EPI_ISL_13744917"
"GISAID","EPI_ISL_13744918"
"GISAID","EPI_ISL_13744919"
"GISAID","EPI_ISL_13744920"
"GISAID","EPI_ISL_13744921"
"GISAID","EPI_ISL_13744922"
"GISAID","EPI_ISL_13744923"
"GISAID","EPI_ISL_13744924"
"GISAID","EPI_ISL_13744925"
"GISAID","EPI_ISL_13744926"
"GISAID","EPI_ISL_13744927"
"GISAID","EPI_ISL_13744928"
"GISAID","EPI_ISL_13744929"
"GISAID","EPI_ISL_13744930"
"GISAID","EPI_ISL_13744931"
"GISAID","EPI_ISL_13822667"
"GISAID","EPI_ISL_13822668"
"GISAID","EPI_ISL_13822669"
"GISAID","EPI_ISL_13822718"
"GISAID","EPI_ISL_13827273"
"GISAID","EPI_ISL_13827274"
"GISAID","EPI_ISL_13827275"
"GISAID","EPI_ISL_13827277"
"GISAID","EPI_ISL_13827278"
"GISAID","EPI_ISL_13827279"
"GISAID","EPI_ISL_13827280"
"GISAID","EPI_ISL_13827281"
"GISAID","EPI_ISL_13827282"
"GISAID","EPI_ISL_13833194"
"GISAID","EPI_ISL_13833195"
"GISAID","EPI_ISL_13833196"
"GISAID","EPI_ISL_13833197"
"GISAID","EPI_ISL_13842269"
"GISAID","EPI_ISL_13842548"
"GISAID","EPI_ISL_13889435"
"GISAID","EPI_ISL_13889436"
"GISAID","EPI_ISL_13889437"
"GISAID","EPI_ISL_13889438"
"GISAID","EPI_ISL_13889439"
"GISAID","EPI_ISL_13889440"
"GISAID","EPI_ISL_13889441"
"GISAID","EPI_ISL_13889442"
"GISAID","EPI_ISL_13889443"
"GISAID","EPI_ISL_13889444"
"GISAID","EPI_ISL_13889445"
"GISAID","EPI_ISL_13889446"
"GISAID","EPI_ISL_13889447"
"GISAID","EPI_ISL_13889448"
